"qPCR_tag","Target","Ct","SD","Median","Calibration","Cage","Bee_exp","Extraction","Sample_ID","diet","Condition"
"AIK21EH11","Ga",18.1070067087809,0.121347716603509,18.1343116760254,"C2019","H","E","K","K21EH11","P","Gi (P)"
"AIK22EH16","Ga",19.595344543457,0.164495789462437,19.5092906951904,"C2019","H","E","K","K22EH16","P","Gi (P)"
"AIK23FG7","Ga",20.1188742319743,0.0370445320863442,20.1055316925049,"C2019","G","F","K","K23FG7","S","Gi"
"AIK24FG8","Ga",22.5912748972575,0.0556681440049825,22.601842880249,"C2019","G","F","K","K24FG8","S","Gi"
"AIL1FH18","Ga",22.2361456553141,0.0399452129552007,22.2319869995117,"C2019","H","F","L","L1FH18","P","Gi (P)"
"AIL2FH1","Ga",24.2704633076986,0.305249164343442,24.2800312042236,"C2019","H","F","L","L2FH1","P","Gi (P)"
"AJL10FH11","Actin",21.4037742614746,0.287523981518803,21.4076690673828,"C2019","H","F","L","L10FH11","P","Gi (P)"
"AJL11FH12","Actin",21.6903603871663,0.262311081940367,21.7711277008057,"C2019","H","F","L","L11FH12","P","Gi (P)"
"AJL12FH14","Actin",21.7707392374674,0.0760981485010699,21.7843685150146,"C2019","H","F","L","L12FH14","P","Gi (P)"
"AJL13FH15","Actin",21.4892851511637,0.0429918195392898,21.5044441223145,"C2019","H","F","L","L13FH15","P","Gi (P)"
"AJL3FH2","Actin",21.5986754099528,0.42514041697614,21.5163707733154,"C2019","H","F","L","L3FH2","P","Gi (P)"
"AJL4FH3","Actin",21.678342183431,0.115653109179601,21.7089214324951,"C2019","H","F","L","L4FH3","P","Gi (P)"
"AJL5FH13","Actin",21.6734002431234,0.0796184900157605,21.6738586425781,"C2019","H","F","L","L5FH13","P","Gi (P)"
"AJL6FH7","Actin",20.1234931945801,0.222378534107472,20.030122756958,"C2019","H","F","L","L6FH7","P","Gi (P)"
"AJL7FH8","Actin",21.4158217112223,0.155213875346526,21.4212818145752,"C2019","H","F","L","L7FH8","P","Gi (P)"
"AJL8FH6","Actin",21.1829662322998,0.0447391058123988,21.1754188537598,"C2019","H","F","L","L8FH6","P","Gi (P)"
"AJL9FH12","Actin",22.1885096232096,0.0750238612427383,22.2115573883057,"C2019","H","F","L","L9FH12","P","Gi (P)"
"AJL10FH11","Ga",21.2660153706868,0.057728967386425,21.2957305908203,"C2019","H","F","L","L10FH11","P","Gi (P)"
"AJL11FH12","Ga",20.3165683746338,0.101818895949507,20.338809967041,"C2019","H","F","L","L11FH12","P","Gi (P)"
"AJL12FH14","Ga",22.4506810506185,0.224507404768051,22.4340305328369,"C2019","H","F","L","L12FH14","P","Gi (P)"
"AJL13FH15","Ga",17.6330884297689,0.07026203235984,17.6139278411865,"C2019","H","F","L","L13FH15","P","Gi (P)"
"AJL3FH2","Ga",21.7255522410075,0.0995715308470381,21.7810554504395,"C2019","H","F","L","L3FH2","P","Gi (P)"
"AJL4FH3","Ga",20.143128712972,0.144421985431245,20.1096210479736,"C2019","H","F","L","L4FH3","P","Gi (P)"
"AJL5FH13","Ga",20.1330159505208,0.199917347838873,20.2220668792725,"C2019","H","F","L","L5FH13","P","Gi (P)"
"AJL6FH7","Ga",20.1740830739339,0.372484963207063,19.9778671264648,"C2019","H","F","L","L6FH7","P","Gi (P)"
"AJL7FH8","Ga",21.032522837321,0.250566197276573,20.9135818481445,"C2019","H","F","L","L7FH8","P","Gi (P)"
"AJL8FH6","Ga",20.9519844055176,0.0858356919419717,20.95654296875,"C2019","H","F","L","L8FH6","P","Gi (P)"
"AJL9FH12","Ga",21.6869773864746,0.0961628654790402,21.7015495300293,"C2019","H","F","L","L9FH12","P","Gi (P)"
"AKM10BD8","Actin",22.0508168538411,0.111642195830788,22.0294818878174,"C2019","D","B","M","M10BD8","P","Sn (P)"
"AKM11BD9","Actin",22.0062268575033,0.318423766314979,22.0426082611084,"C2019","D","B","M","M11BD9","P","Sn (P)"
"AKM12BC10","Actin",22.201011021932,0.115828255452642,22.186351776123,"C2019","C","B","M","M12BC10","S","Sn"
"AKM13CD5","Actin",22.3926385243734,0.328699496751194,22.2070350646973,"C2019","D","C","M","M13CD5","P","Sn (P)"
"AKM14CD6","Actin",22.1067721048991,0.145666191233691,22.1531963348389,"C2019","D","C","M","M14CD6","P","Sn (P)"
"AKM1BC3","Actin",21.9314212799072,0.0566014316946484,21.9176273345947,"C2019","C","B","M","M1BC3","S","Sn"
"AKM2BC5","Actin",22.3552576700846,0.0472706490140569,22.3537921905518,"C2019","C","B","M","M2BC5","S","Sn"
"AKM3BC7","Actin",23.3154080708822,0.0533215912039806,23.2999248504639,"C2019","C","B","M","M3BC7","S","Sn"
"AKM4BC8","Actin",22.2438138326009,0.177372722326909,22.1963748931885,"C2019","C","B","M","M4BC8","S","Sn"
"AKM5BC9","Actin",22.3595148722331,0.177878198504824,22.4437446594238,"C2019","C","B","M","M5BC9","S","Sn"
"AKM6BD1","Actin",21.8196220397949,0.0257890894689254,21.8117828369141,"C2019","D","B","M","M6BD1","P","Sn (P)"
"AKM7BD2","Actin",21.7740656534831,0.154911840256532,21.7122344970703,"C2019","D","B","M","M7BD2","P","Sn (P)"
"AKM8BD4","Actin",21.952964146932,0.028878013188596,21.9689445495605,"C2019","D","B","M","M8BD4","P","Sn (P)"
"AKM9BD5","Actin",21.806827545166,0.125930903305393,21.840160369873,"C2019","D","B","M","M9BD5","P","Sn (P)"
"AKM10BD8","Sa",18.4688313802083,0.192680770228739,18.3871746063232,"C2019","D","B","M","M10BD8","P","Sn (P)"
"AKM11BD9","Sa",18.851282119751,0.11292388580114,18.8871784210205,"C2019","D","B","M","M11BD9","P","Sn (P)"
"AKM12BC10","Sa",19.9526818593343,0.0408378782667889,19.9668502807617,"C2019","C","B","M","M12BC10","S","Sn"
"AKM13CD5","Sa",19.7519327799479,0.0499629943540868,19.7499485015869,"C2019","D","C","M","M13CD5","P","Sn (P)"
"AKM14CD6","Sa",18.4758059183757,0.149448081171997,18.4946556091309,"C2019","D","C","M","M14CD6","P","Sn (P)"
