NAME;IMAGEFILE;ROI_NUM;19F ;12C2 ;13C 12C ;14N 12C ;31P ;32S ;SE;13C 12C /12C2;ER-13C 12C /12C2;CHSQ1;TOTNUM1;TOTDEN1;STD1;NPIX;ROIAREA;ROIDIAM;ROIX;ROIY;ROI_XSTG;ROI_YSTG;14N 13C ;14N 13C /14N 12C;ER-14N 13C /14N 12C;CHSQ2;TOTNUM2;TOTDEN2;STD2;Sample;Experiment;Lm_number;Date acquired;Batch;Date Loaded;Type;Time;Label;Tissue;ratio_14N13c;delta_14N13c;atpercent_14N13c
ROI5;ElChazli-Dec-2021_43.im;5;273.7705;41304.59;3627.213;32821.31;42.29508;447.541;31787.87;0.08781622;0.0008707952;0.2994533;4939;100105;1;61;0.581276;0.8602927;146;126;-310;14264;1619.344;0.0493382;0.0007191534;0.3526302;11063;125979;1;48_13C;Replicate August;Lm_43;160222;F;170222;B3;48;13C;Wkb2;4.35996567749393;3384.01566360915;4.70183870492122
ROI5;ElChazli-Dec-2021_5.im;5;804.2478;15811.33;1373.628;43885.66;2.123894;62.65487;35895.4;0.08687622;0.001028092;0.8634012;13322;247954;1;113;1.07679;1.170902;92;16;-398;14204;2357.876;0.05372771;0.0004778348;1.044669;7761;89334;1;48_13C;Replicate August;Lm_5;91221;B;221221;B4;48;13C;Wkb2;4.68203505096603;3774.05179373893;5.09882289278225
ROI5;ElChazli-Dec-2021_6.im;5;853.9286;16223.57;636.7857;51533.57;0.3571429;67.85714;44173.57;0.03925065;0.0009476138;0.71966;3031;144294;1;56;0.5336304;0.8242811;181;77;-14920;15106;1082.5;0.02100572;0.0003855305;0.3482135;1783;45426;1;72_13C;Replicate August;Lm_6;91221;B;221221;B4;72;13C;Wkb2;1.86153424866338;866.493011609424;2.05735624116358
ROI5;ElChazli-Dec-2021_7.im;5;1395.96;16451.52;675.9596;61457.17;4.040404;86.86868;1078.586;0.04108799;0.0007247623;0.8905214;6937;304213;1;90;0.8576203;1.044967;31;106;-14922;15091;1401.414;0.0228031;0.000276888;0.8064792;3346;81435;1;72_13C;Replicate August;Lm_7;91221;B;221221;B4;72;13C;Wkb2;2.0311797144799;1026.20175804642;2.22947115703402
ROI5;ElChazli-Dec-2021_8.im;5;1031.405;15654.96;644.2149;52759.5;4.132232;77.27273;1080.578;0.04115085;0.001063439;0.5250372;2793;127678;1;44;0.419281;0.7306471;4;178;-14943;15178;1154.132;0.02187534;0.0004184257;1.911652;1559;37885;1;72_13C;Replicate August;Lm_8;91221;B;221221;B4;72;13C;Wkb2;1.95624867536077;943.7643287914;2.14070534146169
ROI5;ElChazli-Dec-2021_9.im;5;1232.537;14621.49;314.9254;60135.52;2.38806;67.46268;39861.79;0.02153852;0.0006702195;0.7891366;2272;201454;1;67;0.6384507;0.90161;88;87;-11990;14529;678.2089;0.01127801;0.0002379379;0.7470091;1055;48982;1;72_12C;Replicate August;Lm_9;91221;B;231221;B4;72;12C;Wkb2;1.00261722156683;2.12355729111868;1.11522334227395
ROI6;ElChazli-Dec-2021_10.im;6;1044.8;16040;695.2;56250.4;4;80.8;42885.6;0.04334164;0.001501789;1.136491;1527;70313;1;25;0.2382279;0.550746;124;114;-14694;14926;1221.6;0.02171718;0.0005617579;0.5974407;869;20050;1;72_13C;Replicate August;Lm_10;91221;B;231221;B5;72;13C;Wkb2;1.93312409206141;929.710797909519;2.12555679287305
ROI6;ElChazli-Dec-2021_11.im;6;1091.219;16372.2;631.7073;53213.66;1.463415;79.51219;45120.49;0.03858415;0.001092685;1.357149;2458;109088;1;41;0.3906937;0.705299;30;173;-14661;14947;1199.024;0.02253227;0.0004595708;0.969301;1295;33563;1;72_13C;Replicate August;Lm_11;91221;B;231221;B5;72;13C;Wkb2;1.9549673988018;1002.13677468312;2.20357444598763
ROI6;ElChazli-Dec-2021_12.im;6;1044.667;15086;550.6666;48914.67;3.333333;63.33333;40885.33;0.03650183;0.001293033;0.7499141;1526;73372;1;30;0.2858734;0.603312;23;234;-14667;14946;1017.333;0.02079812;0.0005379189;0.2992876;826;22629;1;72_13C;Replicate August;Lm_12;91221;B;231221;B5;72;13C;Wkb2;1.85368966608288;848.046419480703;2.03743679179063
ROI6;ElChazli-Dec-2021_13.im;6;1228.333;15911.11;365.5556;48469.17;3.055556;77.22222;42052.5;0.02297486;0.0006405564;0.7938723;2053;174489;1;72;0.6860963;0.9346469;135;72;-11988;14533;570.2778;0.01176578;0.0002611959;1.193565;1316;57280;1;72_12C;Replicate August;Lm_13;101221;C;231221;B5;72;12C;Wkb2;1.01066952309697;45.4650517161006;1.16289604712882
ROI6;ElChazli-Dec-2021_20.im;6;1171.875;11047.5;238.75;60650.62;4.375;66.875;38470;0.02161122;0.001117611;0.7173205;1118;97041;1;32;0.3049317;0.623098;170;17;-11947;14574;698.75;0.0115209;0.0003465398;1.323838;382;17676;1;72_12C;Replicate August;Lm_20;101221;C;241221;B5;72;12C;Wkb2;1.04043564839273;23.7058923688886;1.13896850122503
ROI6;ElChazli-Dec-2021_35.im;6;2064.348;17743.48;1023.478;55473.04;6.086957;146.0869;57958.26;0.05768194;0.001729136;0.5520493;2055;63794;1;23;0.4298181;0.7397711;143;240;-14954;15193;1786.957;0.03221306;0.0007219561;0.6154487;1177;20405;1;72_13C;Replicate August;Lm_35;110122;E;260122;B4;72;13C;Wkb2;2.86165340061119;1862.33708592493;3.12077732033412
ROI6;ElChazli-Dec-2021_38.im;6;1994.884;19172.09;696.7442;47556.75;6.976744;97.67442;50950.7;0.03634158;0.0009558712;2.234224;2177;102247;1;43;0.8035729;1.011504;138;238;-14695;14999;1012.558;0.02129158;0.000461162;1.938272;1498;41220;1;72_13C;Replicate August;Lm_38;110122;E;260122;B4;72;13C;Wkb2;1.86784466370325;891.893506917306;2.08476925386707
ROI6;ElChazli-Dec-2021_39.im;6;1257.273;16586.36;335.4546;46880.91;5.454545;72.72727;39727.27;0.02022472;0.00106345;0.8374133;569;51569;1;22;0.4111303;0.7235104;114;27;-11944;14568;517.2728;0.01103376;0.0004651042;0.8102007;369;18245;1;72_12C;Replicate August;Lm_39;110122;E;260122;B4;72;12C;Wkb2;0.994974520920259;-19.579622513506;1.09133466610454
ROI6;ElChazli-Dec-2021_40.im;6;257.2308;14887.38;316.6154;30915.08;3.076923;81.53846;24415.38;0.02126736;0.0006700013;1.209758;1118;100474;1;65;0.6193925;0.8880512;164;101;2620;15706;344;0.01112726;0.0003346341;1.500409;1029;48384;1;48_12C;Replicate August;Lm_40;160222;F;170222;B4;48;12C;Wkb2;0.972253798883511;-11.2715475422371;1.10048024446017
ROI6;ElChazli-Dec-2021_41.im;6;441.6667;14796.33;318.3333;33401.67;5.333333;101.6667;22086;0.02151434;0.0007036368;0.5880209;1130;100205;1;60;0.5717469;0.853212;139;159;2614;15704;376.6667;0.01127688;0.0003373532;0.6866983;955;44389;1;48_12C;Replicate August;Lm_41;160222;F;170222;B4;48;12C;Wkb2;1.04083260110314;2.02314954012905;1.11511322580901
ROI6;ElChazli-Dec-2021_42.im;6;240.9639;29447.95;2421.687;32909.4;14.45783;208.6747;25297.35;0.08223617;0.0008533769;0.7241429;6691;136574;1;83;0.7909165;1.003507;66;174;-315;14256;1612.289;0.04899175;0.0006134279;0.4182076;10050;122209;1;48_13C;Replicate August;Lm_42;160222;F;170222;B4;48;13C;Wkb2;4.3263070517434;3353.23135800706;4.67036534626101
ROI6;ElChazli-Dec-2021_43.im;6;282.9508;40880;3506.557;34299.67;41.31148;428.5246;34282.95;0.08577684;0.000864271;0.8263942;5200;104614;1;61;0.581276;0.8602927;153;72;-305;14265;1704.918;0.04970654;0.0007062294;1.051258;10695;124684;1;48_13C;Replicate August;Lm_43;160222;F;170222;B4;48;13C;Wkb2;4.19075457381334;3416.74503617511;4.73527984822379
ROI6;ElChazli-Dec-2021_5.im;6;933.3333;14114.07;1770.37;48030.37;3.703704;75.92593;39736.67;0.125433;0.001924676;0.9858524;11047;129682;1;54;0.5145722;0.809428;154;155;-411;14210;4091.481;0.0851853;0.0008442953;1.528662;4780;38108;1;48_13C;Replicate August;Lm_5;91221;B;221221;B5;48;13C;Wkb2;7.55322082530517;6569.26052246018;7.84983825689537
ROI6;ElChazli-Dec-2021_6.im;6;824.7826;14698.26;577.826;48496.96;1.73913;58.26087;42330.87;0.03931255;0.001099365;2.195487;2448;111543;1;46;0.4383393;0.7470682;231;93;-14921;15111;1064.348;0.02194669;0.0004484123;1.024408;1329;33806;1;72_13C;Replicate August;Lm_6;91221;B;221221;B5;72;13C;Wkb2;1.93660650074343;950.104234130438;2.14753815617618
ROI6;ElChazli-Dec-2021_7.im;6;1069.464;16785.08;613.0536;55892.31;1.864802;61.53846;1077.855;0.03652372;0.00102542;1.854213;2511;119889;1;39;0.3716355;0.6878815;104;87;-14921;15098;1170.629;0.02094437;0.0004223233;0.8952978;1315;36004;1;72_13C;Replicate August;Lm_7;91221;B;221221;B5;72;13C;Wkb2;1.9755093609608;861.041670438437;2.05146986908613
ROI6;ElChazli-Dec-2021_8.im;6;1146.307;16620.03;642.4716;57918.61;3.551136;85.79546;1078.977;0.03865647;0.0005857939;0.4610386;8747;407747;1;128;1.219727;1.246196;87;24;-14928;15187;1242.472;0.02145203;0.0002318183;1.37146;4523;117005;1;72_13C;Replicate August;Lm_8;91221;B;221221;B5;72;13C;Wkb2;1.82325608671928;906.15051899367;2.10015090663825
