"","(Intercept)","FoodP","Sn1","Gi1","Pr(Chi).Food","Pr(Chi).Sn","Pr(Chi).Gi"
"X77",0.191804610741342,0.163738853844396,-0.0149837445611199,-0.675249495265667,0.386514334782147,0.973420458372746,0.00190919006462645
"X78",-0.0467244961555546,0.751774400111773,0.0746361684203347,-0.64866634838804,7.88070550672219e-06,0.653669129714636,0.000186271953051464
"X79",-0.0995803927211524,1.009000331382,-0.144873065190959,-0.605794338725572,1.23272411745785e-08,0.372997767943318,0.000313955866260686
"X80",-0.152341555499847,1.00663236649965,-0.416297037997493,-0.253659546772279,3.16715543407801e-08,0.0144467798829236,0.13257598435828
"X81",-0.0468641489332473,-0.276341341477252,0.200190065188886,0.159101057158466,0.100301199788275,0.232267801993751,0.34213297799104
"X82",0.475812518024756,0.561295706982154,-0.942506405623915,-0.530906585766043,0.000617857529330658,2.6767824710642e-06,0.00178082235581452
"X83",-0.787822446293156,1.2219280154893,0.509204548218984,-0.0957793106546253,3.98617282063142e-12,0.00150372855155951,0.535624999219223
"X84",-0.580787505382286,0.889571480745617,0.24646792212533,0.057346070647305,8.94916184418396e-07,0.180893359749717,0.757249154079911
"X85",-0.260982537233893,0.214532995406073,0.0153327673265064,0.186940421158612,0.285847487674305,0.846459163201953,0.328287115430429
"X86",-0.592371734301338,1.1593473917523,0.216402265791871,-0.227938634949842,1.29811204724253e-10,0.16508910078736,0.267145014354023
"X87",-0.11644034632714,-0.1087648109805,0.322336618635899,0.0247505949785992,0.589993598247338,0.112385628085285,0.902410531124951
"X88",-0.376252002308995,0.895208494433602,-0.0669366036031783,-0.133265003254549,2.8287841706133e-06,0.936334897147574,0.590544621705541
"X89",-0.606991066206803,1.32871314291956,0.134468762975061,-0.192844327630127,4.20500880213443e-14,0.371734413325497,0.201522397029996
"X90",0.246467955774028,0.596824942442997,-0.23813719821731,-0.84222924855774,0.000346008261908843,0.200029013374539,2.80389473233958e-06
"X91",-0.577335696719486,1.25043574441468,0.0668152692972973,-0.237774117751109,2.37189737842993e-12,0.638054168825831,0.17456420385271
"X92",-0.670674115358102,1.24464644108209,-0.0137923432889195,0.141895049210678,7.2169862023978e-12,0.931171472983654,0.375564632939401
"X93",-0.194481238169189,0.940487397683839,0.0469334138631293,-0.535821846697132,2.88579779316542e-07,0.529599626824712,0.00186217956712721
"X94",-0.280477299014904,0.817497629092415,0.0822118649010099,-0.309089735454389,9.63570814470391e-07,0.640758299795333,0.0639879214591399
"X95",-0.246611546830929,0.972368996231238,-0.148507001037961,-0.309462495392895,1.15298818655273e-07,0.471542011167925,0.079228860282416
"X96",-0.378872006085097,0.754429091430522,0.0857661377793442,-0.207749687108902,6.13016740390177e-05,0.606068760319862,0.298467068673975
"X97",0.0104372802186787,0.772354867828243,-0.239683335392528,-0.366446386646392,1.60314666057104e-05,0.224921554411344,0.037434796268849
"X98",-0.583823855438715,1.26180513464572,0.210374461800627,-0.231360618082002,5.07395084279846e-14,0.179035448799986,0.120909372377834
"X99",-0.16233237503237,0.899063417462315,-0.359495010010782,-0.187971422293908,1.68088276902105e-06,0.0439541161529539,0.288802759282379
